Kuznetsov,2016,+79880011111,PineStreet,10,5;
Makarov,2018,+79880022222,MapleAvenue,15,9;
Smirnov,2019,+79880033333,ElmRoad,20,7;
Petrov,2014,+79880044444,OakwoodDrive,3,11;
Ivanov,2017,+79880055555,BirchLane,8,12;
Sidorov,2021,+79880066666,RiverbankStreet,17,4;
Dmitriev,2015,+79880077777,CedarCourt,24,6;
Stepanov,2022,+79880088888,WillowStreet,29,13;
Volkov,2020,+79880099999,PoplarPath,5,10;
Orlov,2018,+79880100000,MapleGrove,12,14;
Belov,2017,+79880111111,RoseGarden,19,8;
Fedorov,2013,+79880122222,ElmBoulevard,23,16;
Nikitin,2016,+79880133333,PineCourt,30,3;
Sergeev,2020,+79880144444,BirchwoodRoad,6,19;
Mikhailov,2019,+79880155555,WillowPark,13,5;
Gusev,2018,+79880166666,OakStreet,2,2;
Kolesnikov,2015,+79880177777,SilverLane,22,20;
Morozov,2014,+79880188888,ChestnutPath,7,15;
Novikov,2021,+79880199999,GoldenAvenue,21,18;
Kuzmin,2022,+79880200000,BirchLane,14,17;
Volkov,2020,+79880211111,RiverRoad,16,1;
Romanov,2019,+79880222222,CedarStreet,19,7;
Alekseev,2017,+79880233333,OakLane,28,3;
Stepanov,2016,+79880244444,PineCourt,4,6;
Belov,2014,+79880255555,CedarGrove,5,10;
Pavlov,2018,+79880266666,MapleStreet,27,12;
Gusev,2021,+79880277777,BirchBoulevard,22,16;
Nikitin,2017,+79880288888,ElmLane,11,2;
Morozov,2015,+79880299999,PoplarPath,19,15;
Dmitriev,2013,+79880300000,MapleDrive,6,5;
Ivanov,2022,+79880311111,CedarBoulevard,16,4;
Mikhailov,2016,+79880322222,SilverStreet,21,3;
Belov,2019,+79880333333,PinePath,9,8;
Stepanov,2018,+79880344444,RoseLane,12,13;
Pavlov,2017,+79880355555,RiverbankRoad,5,18;
Alekseev,2016,+79880366666,BirchwoodPath,7,14;
Romanov,2020,+79880377777,GoldenGrove,15,6;
Novikov,2021,+79880388888,ChestnutRoad,18,2;
Stepanov,2022,+79880399999,CedarStreet,25,11;
Ivanov,2015,+79880400000,PineStreet,4,9;
Kuznetsov,2019,+79880411111,MapleLane,13,16;
Sidorov,2020,+79880422222,ElmStreet,21,17;
Petrov,2021,+79880433333,OakwoodGrove,30,19;
Dmitriev,2018,+79880444444,BirchPath,8,14;
Mikhailov,2020,+79880455555,PineLane,17,10;
Stepanov,2017,+79880466666,SilverBoulevard,25,12;
Orlov,2016,+79880477777,CedarCourt,9,5;
Ivanov,2015,+79880488888,RosePath,3,6;
Sidorov,2018,+79880499999,GoldenStreet,22,13;
Pavlov,2020,+79880500000,RiverbankAvenue,10,4;
Pavlov,2020,+79880500000,RiverbankAvenue,10,4;
Gusev,2018,+79111234589,RiverLane,33,10;
Pavlov,2020,+79221234590,OakwoodStreet,9,7;
Lebedev,2019,+79331234501,BlossomBoulevard,18,15;
